id,word,reading,meaning,sentence,tags
176,通う,かよう,"ходить туда и обратно, курсировать, ходить (в школу, на работу)",学校に通う,Unit 02
177,込む,こむ,быть переполненным (людьми),電車が込む,Unit 02
178,すれ違う,すれちがう,"пройти мимо друг друга, разминуться",この道は狭いので、自動車がすれ違うのは大変だ,Unit 02
179,掛かる,かかる,"висеть, прислоняться, зацепляться, требовать(ся) и т.п.",このサラダには何も掛かっていないようだ,Unit 02
180,掛ける,かける,"вешать на что-либо, прислонять, накладывать и т.п.",料理に醤油を掛けて食べる,Unit 02
181,動く,うごく,"двигаться, работать (о механизме)",写真を撮るから、動かないでください,Unit 02
182,動かす,うごかす,"двигать, приводить в движение",酷い怪我をして、体を動かすこともできない,Unit 02
183,離れる,はなれる,"отделяться, отходить, покидать, расставаться",危ないから、ストーブから離れて遊びなさい,Unit 02
184,離す,はなす,"отделять, разделять, отпускать от себя",テストのときは机を離して並べる,Unit 02
185,ぶつかる,ぶつかる,"налетать на кого-либо, натыкаться",道で自転車にぶつかって、怪我をした,Unit 02
186,ぶつける,ぶつける,"швырять чем-либо в кого-либо, ударять, стукать обо что-либо",運転していて、車を電柱にぶつけてしまった,Unit 02
187,こぼれる,こぼれる,"проливаться, переливаться через край, расплескиваться",手が震えて、お茶が零れてしまった,Unit 02
188,こぼす,こぼす,"проливать, рассыпать, жаловаться, ныть",コップを倒して、水を零してしまった,Unit 02
189,ふく,ふく,"вытирать, стирать (пыль, грязь)",汗を拭く,Unit 02
190,片付く,かたづく,"быть прибранным, быть в порядке, быть улаженным",大掃除をして、やっと部屋が片付いた,Unit 02
191,片付ける,かたづける,"приводить в порядок, прибирать",机の上を片付ける,Unit 02
192,包む,つつむ,"обертывать, заворачивать, окутывать, скрывать",プレゼントをきれいな紙で包む,Unit 02
193,張る,はる,"растягивать, натягивать, покрывать, оклеивать",壁にポスターを張る,Unit 02
194,無くなる,なくなる,"пропадать, кончаться, иссякать",部屋の鍵が無くなってしまった,Unit 02
195,無くす,なくす,уничтожать,パスポートを無くして、困っている,Unit 02
196,足りる,たりる,"хватать, быть достаточным",この収入では生活するのに全然足りない,Unit 02
197,残る,のこる,оставаться,料理を作りすぎて、たくさん残ってしまった,Unit 02
198,残す,のこす,оставлять,ご飯を残してしまった,Unit 02
199,腐る,くさる,"портиться, протухать",腐った物を食べて、お腹を壊してしまった,Unit 02
200,むける,むける,"ободраться, облупиться",海で日焼けをして、背中の皮が剥けた,Unit 02
201,むく,むく,"сдирать, обдирать, чистить, шелушить",果物の皮を剥く,Unit 02
202,滑る,すべる,"скользить, кататься (на коньках), поскользнуться, быть скользким",新しいスケート場はきれいで、楽しく滑ることができた,Unit 02
203,積もる,つもる,"нагромождаться, скапливаться; приблизительно оценивать",昨日降った雪が積もっている,Unit 02
204,積む,つむ,"нагромождать, накапливать, грузить, копить, накапливать",机の上に本がたくさん積んである,Unit 02
205,空く,あく,"быть пустым (свободным), иметь цель, закончиться, подойти к концу",靴下に穴が空いてしまった,Unit 02
206,空ける,あける,"опорожнять, освобождать",壁に穴を空ける,Unit 02
207,下がる,さがる,"свешиваться, свисать, падать, понижаться",熱が下る,Unit 02
208,下げる,さげる,"спускать, понижать, снижать; вывешивать",熱を下げる,Unit 02
209,冷える,ひえる,"охлаждаться, остывать, мёрзнуть, зябнуть",寒い所に長くいたので、手足が冷えてしまった,Unit 02
210,冷やす,ひやす,"остужать, замораживать",この果物は冷やして、食べたほうが美味しい,Unit 02
211,冷める,さめる,"остывать, охладевать",この料理は冷めると、美味しくない,Unit 02
212,冷ます,さます,"остудить, охладить",お風呂のお湯が熱くなりすぎた、少し冷ましてから、入ろう,Unit 02
213,燃える,もえる,"гореть, пылать",火が燃える,Unit 02
214,燃やす,もやす,"зажигать, воспламенять",火を燃やす,Unit 02
215,沸く,わく,"кипеть, закипать, буршить",湯が沸く,Unit 02
216,沸かす,わかす,кипятить; будоражить,湯を沸かす,Unit 02
217,鳴る,なる,"звучать, раздаваться, греметь",雷が鳴っている,Unit 02
218,鳴らす,ならす,"вызывать звук при помощи чего-либо; раззвонить, разнести",ブザーを鳴らす,Unit 02
219,役立つ／役に立つ,やくだつ／やくにたつ,"годиться, быть пригодным",インタネットの情報は勉強や仕事の役に立つ,Unit 02
220,役立てる／役に立てる,やくだてる／やくにたてる,"приспособить, приладить, пустить в дело",インタネットの情報を勉強や仕事の役に立てる,Unit 02
221,飾り,かざり,"украшение, убранство, орнамент",,Unit 02
222,遊び,あそび,"игра, развлечение",,Unit 02
223,集まり,あつまり,"собрание, сходка; сбор",,Unit 02
224,教え,おしえ,"обучение, преподавание, учение, доктрина",,Unit 02
225,踊り,おどり,танец,,Unit 02
226,思い,おもい,мысль; ожидания; желания,あの人に私の思いが届いた,Unit 02
227,考え,かんがえ,"мысль, идея, мнение, намерение",,Unit 02
228,片づけ,かたづけ,"наведение порядка, уборка, завершение чего-либо",,Unit 02
229,手伝い,てつだい,помощь,,Unit 02
230,働き,はたらき,"работа, труд, функционирование,способности",,Unit 02
231,決まり,きまり,"""Решено!""",,Unit 02
232,騒ぎ,さわぎ,"шум, шумиха",,Unit 02
233,知らせ,しらせ,"извещение, уведомление, предвести",,Unit 02
234,頼み,たのみ,"просьба, надежда, опора",,Unit 02
235,疲れ,つかれ,"усталость, утомление",,Unit 02
236,違い,ちがい,"отличие, разница, расхождение, ошибка",,Unit 02
237,始め,はじめ,начало,,Unit 02
238,続き,つづき,продолжение,,Unit 02
239,暮れ,くれ,"конец дня, сумерки, конец года или сезона",,Unit 02
240,行き,いき,ходьба; езда,,Unit 02
241,帰り,かえり,возвращение,,Unit 02
242,急ぎ,いそぎ,спешка,,Unit 02
243,遅れ,おくれ,"запаздывание, неудача, провал, робость, неуверенность",,Unit 02
244,貸し,かし,"сдача в наём, прокат, ссуда",,Unit 02
245,借り,かり,"взятие в долг, задолженность",,Unit 02
246,勝ち,かち,победа,,Unit 02
247,負け,まけ,"поражение, проигрыш",,Unit 02
248,迎え,むかえ,"встеча, встречающий",,Unit 02
249,始まり,はじまり,начало,,Unit 02
250,終わり,おわり,конец,,Unit 02
251,戻り,もどり,возвращение,,Unit 02
252,別れ,わかれ,"отделение, ответвление, развилка, разлука",,Unit 02
253,喜び,よろこび,"радость, поздравление",,Unit 02
254,楽しみ,たのしみ,"удовольствие, развлечение; предвкушение",,Unit 02
255,笑い,わらい,смех,,Unit 02
256,驚き,おどろき,"изумление, испуг",,Unit 02
257,怒り,いかり,"гнев, ярость",,Unit 02
258,悲しみ,かなしみ,печаль,,Unit 02
259,幸せな,しあわせな,"счастливый, удачливый",幸せな人生,Unit 03
260,得意な,とくいな,хорошо разбирающийся,彼女はギターが得意だ,Unit 03
261,苦手な,にがてな,"противный, неприятный",彼女はギターが苦手だ,Unit 03
262,熱心な,ねっしんな,"ревностный, пылкий, горячий",熱心な仕事ぶりが認められて、昇進した,Unit 03
263,夢中な,むちゅうな,"не помнящий себя, как во сне, потерявший голову",子供の頃、SF漫画に夢中になった,Unit 03
264,退屈な,たいくつな,скучный,他の観客は笑いながら見ていたが、私には退屈な映画だった,Unit 03
265,健康な,けんこうな,"бодрый, приподнятый",心も体も健康な子供を育てたい,Unit 03
266,苦しい,くるしい,"тяжелый, мучительный, трудный",息が苦しい,Unit 03
267,平気な,へいきな,"невозмутимый, равнодушный",彼女はどんなに悪口を言われても、平気な顔をしている,Unit 03
268,悔しい,くやしい,"досадный, прискорбный, достойный сожаления",何度練習しても、上手くできなくて、悔しい,Unit 03
269,うらやましい,うらやましい,завистливый,才能の豊かな人が羨ましい,Unit 03
270,かゆい,かゆい,зудящий,蚊に刺されて、首が痒い,Unit 03
271,おとなしい,おとなしい,спокойный (о характере),彼は大人しい人だ,Unit 03
272,我慢強い,がまんづよい,терпеливый,我慢強い性格,Unit 03
273,正直な,しょうじきな,"честный, правдивый, искренний",彼は正直な人だから、嘘を吐くことができない,Unit 03
274,けちな,けちな,"скупой, жадный; захудалый, убогий",あの人はとてもけちだ,Unit 03
275,我儘な,わがままな,своевольный,我が儘な人,Unit 03
276,積極的な,せっきょくてきな,"положительный, позитивный",積極的な人,Unit 03
277,消極的な,しょうきょくてきな,"негативный, пассивный",消極的な人,Unit 03
278,満足な,まんぞくな,"удовлетворительный,достаточный,законченный",アルバイトだけでは満足な収入は得られない,Unit 03
279,不満な,ふまんな,"недовольный, неудовлитворительный",この仕事に不満な点はない,Unit 03
280,不安な,ふあんな,"тревожный, неуверенный, непрочный",最近、体の調子が良くない、悪い病気ではないかと不安だ,Unit 03
281,大変な,たいへんな,ужасный,子育て中のお母さんは大変だ,Unit 03
282,無理な,むりな,"невозможный, насильственный, необоснованный",たった百万円で家を建てるなんて、無理な話だ,Unit 03
283,不注意な,ふちゅういな,"невнимательный, неосторожный",不注意な人,Unit 03
284,楽な,らくな,"приятный, легкий",もう少し楽な暮らしがしたい,Unit 03
285,面倒な,めんどうな,"обременительный, хлопотливый, утомительный",ご入会には面倒な手続きは要りません,Unit 03
286,失礼な,しつれいな,"невежливый, грубый",挨拶しても返事もしない、なんて失礼な人だろう,Unit 03
287,当然な,とうぜんな,"естественный, надлежащий",お金を借りたら、返すのが当然だ,Unit 03
288,意外な,いがいな,"неожиданный, непредвиденный",事故を調査するうちに意外な事実が分かった,Unit 03
289,結構な,けっこうな,"прекрасный, превосходный, великолепный",お味はいかがですか、大変結構です,Unit 03
290,派手な,はでな,"яркий, броский, кричащий",派手な人,Unit 03
291,地味な,じみな,"простой, скромный, умеренный",地味な人,Unit 03
292,おしゃれな,おしゃれな,модный,彼女はとてもお洒落だ,Unit 03
293,変な,へんな,странный,変なメールが届いたので、すぐに消した,Unit 03
294,不思議な,ふしぎな,"чудесный, удивительный, загадочный",この村には不思議な話が伝わっている,Unit 03
295,ましな,ましな,"лучший, более предпочтительный",咳が酷かったが、うがいをしたら、前より増しになった,Unit 03
296,むだな,むだな,"пустой, напрасный",落ちると分かっているのに試験を受けるのは無駄なことだ,Unit 03
297,自由な,じゆうな,свободный,赤ちゃんがいるので、自由な時間が殆どない,Unit 03
298,不自由な,ふじゆうな,"неудобный, стеснительный",目が不自由な人,Unit 03
299,暖まる／温まる,あたたまる,греться,,Unit 03
300,暖める／温める,あたためる,"греть, подогревать",,Unit 03
301,高まる,たかまる,повышаться,,Unit 03
302,高める,たかめる,повышать,,Unit 03
303,強まる,つよまる,"усиливаться, укрепляться",,Unit 03
304,強める,つよめる,"усиливать, укреплять",,Unit 03
305,弱まる,よわまる,"слабеть, ослабевать",,Unit 03
306,弱める,よわめる,ослаблять,,Unit 03
307,広まる,ひろまる,распространяться,,Unit 03
308,広める,ひろめる,"расширять, распространять, оповещать;",,Unit 03
